B.6g Gross Disposable Household Income by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East Midlands,E07000151,Daventry,751,796,819,897,946,965,1000,1035,1082,1140,1230,1235,1241,1240,1312,1378,1415,1458,1561,1621
East Midlands,E07000152,East Northamptonshire,753,795,829,899,944,973,1035,1080,1137,1204,1292,1330,1336,1327,1368,1430,1489,1533,1650,1679
East Midlands,E07000153,Kettering,824,857,886,949,989,1016,1073,1130,1188,1261,1373,1410,1430,1420,1465,1557,1618,1680,1791,1817
East Midlands,E07000154,Northampton,2071,2129,2193,2346,2429,2471,2564,2667,2811,2986,3243,3289,3330,3348,3613,3830,3940,4085,4365,4491
East Midlands,E07000155,South Northamptonshire,873,897,947,1044,1089,1115,1150,1182,1241,1309,1407,1413,1391,1395,1469,1555,1608,1669,1785,1822
East Midlands,E07000156,Wellingborough,712,732,768,828,864,879,914,948,1003,1048,1118,1144,1154,1138,1168,1231,1261,1299,1394,1410
East Midlands,E07000170,Ashfield,975,1034,1084,1162,1220,1274,1318,1401,1437,1477,1583,1626,1673,1666,1698,1761,1810,1884,2019,2043
East Midlands,E07000171,Bassetlaw,964,1014,1067,1141,1194,1245,1279,1363,1395,1425,1517,1563,1614,1592,1604,1654,1688,1740,1856,1867
East Midlands,E07000172,Broxtowe,1178,1216,1264,1290,1366,1413,1480,1538,1578,1638,1739,1795,1836,1797,1811,1926,1983,2030,2119,2164
East Midlands,E07000173,Gedling,1205,1257,1295,1324,1405,1454,1505,1563,1594,1657,1762,1812,1866,1841,1861,1964,2036,2105,2191,2233
East Midlands,E07000174,Mansfield,884,926,963,1016,1055,1094,1145,1214,1252,1291,1393,1444,1495,1479,1490,1542,1578,1633,1747,1769
East Midlands,E07000175,Newark and Sherwood,959,1027,1059,1138,1194,1249,1305,1376,1402,1440,1541,1598,1645,1625,1640,1709,1756,1811,1936,1960
East Midlands,E07000176,Rushcliffe,1181,1249,1305,1373,1451,1491,1537,1586,1621,1682,1795,1855,1885,1882,1885,1992,2070,2138,2248,2306
West Midlands,E06000019,"Herefordshire, County of",1728,1847,1888,2015,2134,2217,2295,2418,2485,2655,2717,2853,2935,2997,3108,3212,3336,3375,3585,3618
West Midlands,E06000051,Shropshire,2959,3175,3224,3388,3476,3615,3776,3968,4078,4349,4501,4795,4949,4949,5098,5231,5347,5470,5840,5928
West Midlands,E06000021,Stoke-on-Trent,2043,2080,2199,2280,2284,2315,2385,2464,2593,2639,2779,2841,2912,2954,3052,3173,3283,3334,3490,3570
West Midlands,E06000020,Telford and Wrekin,1510,1591,1627,1638,1656,1737,1830,1918,1917,2016,2104,2145,2212,2252,2350,2461,2515,2579,2758,2830
West Midlands,E07000192,Cannock Chase,914,973,1001,1050,1117,1160,1201,1223,1278,1336,1386,1440,1484,1487,1513,1575,1627,1673,1768,1801
West Midlands,E07000193,East Staffordshire,1009,1080,1110,1174,1253,1290,1341,1381,1430,1509,1585,1659,1715,1735,1769,1838,1907,1967,2091,2134
West Midlands,E07000194,Lichfield,1005,1060,1095,1150,1203,1249,1287,1305,1344,1412,1462,1531,1542,1561,1568,1628,1679,1731,1839,1870
West Midlands,E07000195,Newcastle-under-Lyme,1211,1266,1309,1378,1441,1481,1534,1565,1632,1709,1769,1830,1871,1871,1902,1979,2068,2127,2265,2330
West Midlands,E07000196,South Staffordshire,1118,1177,1216,1284,1352,1406,1430,1424,1462,1523,1579,1634,1655,1669,1683,1748,1830,1878,1982,2020
West Midlands,E07000197,Stafford,1281,1332,1362,1434,1504,1554,1619,1641,1700,1794,1867,1960,1991,2010,2051,2131,2206,2255,2387,2459
West Midlands,E07000198,Staffordshire Moorlands,951,1012,1044,1101,1163,1186,1218,1251,1287,1352,1394,1445,1459,1465,1479,1525,1570,1614,1711,1735
West Midlands,E07000199,Tamworth,743,795,820,870,931,950,981,994,1028,1078,1113,1156,1186,1184,1196,1241,1281,1307,1380,1406
West Midlands,E07000218,North Warwickshire,699,729,750,802,832,857,888,921,939,968,993,1028,1061,1047,1065,1109,1143,1184,1275,1303
West Midlands,E07000219,Nuneaton and Bedworth,1302,1347,1386,1483,1556,1599,1682,1754,1789,1867,1943,2019,2093,2084,2147,2239,2319,2393,2546,2614
West Midlands,E07000220,Rugby,958,1005,1035,1122,1187,1249,1282,1346,1373,1456,1529,1612,1665,1685,1743,1822,1902,2003,2152,2204
West Midlands,E07000221,Stratford-on-Avon,1369,1444,1507,1602,1663,1695,1745,1771,1819,1898,1976,2067,2077,2089,2148,2239,2302,2380,2562,2623
West Midlands,E07000222,Warwick,1448,1537,1601,1749,1842,1937,2027,2109,2169,2260,2358,2462,2512,2516,2558,2676,2764,2886,3067,3157
West Midlands,E08000025,Birmingham,8747,9096,9356,9957,10323,10571,10779,11102,11229,11650,11982,12363,12772,13098,13362,13906,14269,14854,15620,15898
West Midlands,E08000026,Coventry,2742,2804,2902,3144,3274,3355,3348,3463,3425,3496,3693,3818,3974,4073,4187,4353,4513,4665,4898,5007
West Midlands,E08000027,Dudley ,2947,3066,3157,3317,3392,3438,3496,3638,3677,3789,3868,3936,4128,4216,4275,4473,4599,4719,4935,5042
West Midlands,E08000028,Sandwell ,2353,2445,2519,2659,2722,2786,2847,2953,2993,3067,3145,3240,3397,3482,3575,3728,3813,3988,4225,4247
West Midlands,E08000029,Solihull,2440,2545,2621,2808,3053,3157,3207,3277,3341,3403,3501,3573,3646,3661,3753,3914,4155,4293,4574,4652
West Midlands,E08000030,Walsall,2280,2387,2449,2547,2582,2667,2698,2780,2799,2859,2942,3043,3170,3210,3294,3419,3550,3707,3861,3846
West Midlands,E08000031,Wolverhampton,2170,2264,2332,2428,2488,2545,2578,2647,2674,2733,2825,2922,3016,3047,3100,3196,3281,3387,3541,3593
West Midlands,E07000234,Bromsgrove,1005,1073,1095,1152,1201,1252,1270,1331,1395,1478,1488,1540,1562,1547,1585,1652,1717,1788,1909,1952
West Midlands,E07000235,Malvern Hills,814,868,882,913,952,1002,1007,1050,1097,1158,1169,1191,1201,1200,1228,1266,1323,1370,1451,1478
West Midlands,E07000236,Redditch,837,894,922,962,1002,1042,1077,1154,1206,1286,1303,1346,1397,1385,1412,1464,1522,1561,1653,1678
West Midlands,E07000237,Worcester,994,1083,1112,1157,1209,1264,1295,1370,1439,1532,1555,1612,1663,1650,1706,1791,1870,1927,2049,2102
West Midlands,E07000238,Wychavon,1232,1316,1355,1445,1528,1563,1592,1666,1740,1830,1858,1895,1924,1914,1958,2027,2114,2210,2371,2435
West Midlands,E07000239,Wyre Forest,1063,1129,1147,1180,1226,1270,1308,1377,1444,1510,1520,1556,1587,1557,1582,1635,1700,1749,1861,1890
East of England,E06000055,Bedford,1597,1636,1721,1838,1876,1981,2022,2090,2188,2275,2363,2470,2562,2623,2685,2789,2892,2998,3289,3399
East of England,E06000056,Central Bedfordshire,2748,2810,2963,3163,3251,3431,3499,3604,3766,3906,4045,4217,4350,4468,4533,4792,5067,5190,5529,5733
East of England,E06000032,Luton,1687,1657,1742,1864,1987,2054,2097,2121,2171,2213,2301,2368,2462,2539,2623,2746,2819,2940,3086,3215
East of England,E06000031,Peterborough,1551,1612,1727,1840,1904,1956,1975,2021,2113,2261,2389,2471,2522,2582,2640,2774,2875,3018,3220,3258
East of England,E06000033,Southend-on-Sea,1762,1814,1892,1996,2103,2198,2254,2257,2318,2395,2491,2583,2705,2753,2808,2915,3031,3138,3335,3447
East of England,E06000034,Thurrock,1371,1439,1473,1530,1621,1739,1816,1869,1937,2012,2115,2225,2307,2347,2383,2487,2563,2696,2857,2949
East of England,E07000008,Cambridge,1331,1406,1499,1598,1630,1698,1732,1828,2034,2108,2151,2207,2279,2347,2409,2523,2661,2799,2986,3050
East of England,E07000009,East Cambridgeshire,768,836,877,943,967,1023,1058,1089,1169,1233,1293,1341,1400,1409,1423,1507,1579,1660,1760,1800
East of England,E07000010,Fenland,843,890,934,986,1006,1077,1107,1181,1266,1346,1419,1472,1525,1523,1535,1615,1693,1766,1883,1933
East of England,E07000011,Huntingdonshire,1749,1827,1929,2043,2070,2184,2211,2356,2504,2619,2713,2803,2874,2878,2901,3068,3204,3350,3546,3633
East of England,E07000012,South Cambridgeshire,1516,1596,1681,1770,1831,1914,1924,2017,2162,2278,2385,2475,2543,2561,2620,2755,2867,3006,3220,3328
East of England,E07000066,Basildon,1808,1862,1983,2084,2211,2304,2350,2439,2532,2619,2712,2847,2976,2959,3017,3169,3239,3302,3516,3640
East of England,E07000067,Braintree,1296,1367,1474,1582,1673,1777,1815,1910,1993,2061,2149,2268,2364,2351,2419,2525,2615,2669,2796,2864
