Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East Midlands,E07000151,Daventry,164,175,184,202,219,236,245,259,269,288,321,335,364,386,401,425,433,413,429,438
East Midlands,E07000152,East Northamptonshire,178,190,200,220,236,252,263,280,291,314,352,372,404,430,449,474,488,487,509,514
East Midlands,E07000153,Kettering,200,211,220,238,253,268,278,296,308,332,373,396,433,463,485,514,530,530,551,556
East Midlands,E07000154,Northampton,475,503,522,562,590,626,638,670,698,754,847,894,973,1044,1092,1164,1193,1143,1191,1211
East Midlands,E07000155,South Northamptonshire,186,196,207,226,241,262,269,287,301,322,358,373,401,426,439,469,482,461,479,485
East Midlands,E07000156,Wellingborough,175,183,193,210,223,236,240,253,263,281,310,326,353,375,391,412,420,418,436,441
East Midlands,E07000170,Ashfield,306,321,337,373,401,415,423,454,470,502,541,573,626,655,679,716,720,721,754,767
East Midlands,E07000171,Bassetlaw,296,311,327,361,388,400,409,438,452,481,518,549,598,624,642,675,673,672,700,709
East Midlands,E07000172,Broxtowe,304,317,323,343,383,398,403,412,434,464,498,528,575,602,607,656,690,671,701,717
East Midlands,E07000173,Gedling,312,328,334,355,398,413,417,426,448,479,515,545,593,623,629,676,714,696,727,747
East Midlands,E07000174,Mansfield,281,293,305,335,352,363,372,397,411,440,475,506,551,575,594,625,624,624,652,664
East Midlands,E07000175,Newark and Sherwood,293,309,323,357,382,395,406,437,452,484,523,555,605,633,653,690,692,693,724,738
East Midlands,E07000176,Rushcliffe,286,304,310,334,377,393,399,410,432,465,501,531,579,612,615,661,701,684,717,736
West Midlands,E06000019,"Herefordshire, County of",502,532,553,579,629,659,720,746,758,812,889,943,1022,1076,1132,1206,1202,1176,1218,1241
West Midlands,E06000051,Shropshire,784,828,868,981,985,1045,1095,1157,1185,1276,1438,1511,1623,1717,1837,1965,1992,1937,1994,2032
West Midlands,E06000021,Stoke-on-Trent,680,702,726,757,760,793,851,906,923,965,1049,1090,1165,1216,1247,1288,1314,1281,1323,1337
West Midlands,E06000020,Telford and Wrekin,394,418,436,446,453,476,521,553,563,592,661,701,761,804,851,899,894,888,962,996
West Midlands,E07000192,Cannock Chase,247,261,269,283,306,319,335,352,364,387,424,450,490,520,539,571,581,575,594,603
West Midlands,E07000193,East Staffordshire,275,293,300,317,346,358,379,399,413,441,488,521,568,606,629,668,680,675,701,716
West Midlands,E07000194,Lichfield,255,267,275,287,310,321,337,357,370,396,438,466,507,539,557,590,602,595,619,629
West Midlands,E07000195,Newcastle-under-Lyme,332,348,359,376,406,419,438,459,473,501,549,577,624,662,684,724,741,735,766,784
West Midlands,E07000196,South Staffordshire,286,299,309,325,352,364,379,397,409,434,476,503,546,580,598,633,653,646,668,681
West Midlands,E07000197,Stafford,336,351,357,372,401,416,437,460,478,511,565,601,655,698,723,768,781,770,798,818
West Midlands,E07000198,Staffordshire Moorlands,255,267,275,289,314,326,339,355,366,390,428,452,491,520,537,567,577,571,591,601
West Midlands,E07000199,Tamworth,199,211,217,228,248,256,266,278,287,305,335,355,387,411,425,450,456,449,465,471
West Midlands,E07000218,North Warwickshire,170,179,185,207,214,222,234,244,251,270,292,304,325,344,359,378,376,375,385,390
West Midlands,E07000219,Nuneaton and Bedworth,326,342,355,396,414,430,456,477,492,531,580,607,651,691,725,764,763,759,776,789
West Midlands,E07000220,Rugby,237,248,258,289,304,318,337,355,371,405,448,473,512,549,581,613,616,620,641,650
West Midlands,E07000221,Stratford-on-Avon,304,321,330,370,387,403,427,448,466,509,560,587,628,666,699,733,734,732,751,762
West Midlands,E07000222,Warwick,338,355,368,415,437,461,495,524,546,591,646,674,724,765,797,840,836,833,852,862
West Midlands,E08000025,Birmingham,2691,2763,2810,2982,3148,3317,3500,3707,3766,3921,4221,4448,4823,5081,5196,5512,5511,5468,5631,5683
West Midlands,E08000026,Coventry,773,798,796,873,919,965,1023,1065,1087,1151,1261,1320,1415,1513,1555,1623,1646,1636,1673,1685
West Midlands,E08000027,Dudley ,801,837,865,968,977,998,1050,1116,1138,1208,1325,1370,1481,1571,1589,1685,1739,1710,1784,1811
West Midlands,E08000028,Sandwell ,747,773,799,875,896,932,983,1043,1060,1115,1209,1289,1401,1486,1523,1562,1552,1557,1602,1600
West Midlands,E08000029,Solihull,547,575,598,676,744,796,823,843,863,947,1018,1067,1150,1209,1247,1348,1379,1382,1423,1443
West Midlands,E08000030,Walsall,660,688,710,769,814,864,886,946,977,1030,1126,1186,1294,1352,1377,1443,1473,1479,1495,1491
West Midlands,E08000031,Wolverhampton,641,665,681,736,776,815,835,885,911,961,1050,1104,1190,1244,1267,1320,1355,1346,1371,1380
West Midlands,E07000234,Bromsgrove,254,266,278,286,296,316,329,355,369,397,432,456,496,525,543,583,601,595,617,631
West Midlands,E07000235,Malvern Hills,211,222,231,236,243,258,267,287,298,319,345,363,394,418,433,464,479,475,490,499
West Midlands,E07000236,Redditch,227,239,251,258,265,280,291,312,325,351,382,405,441,469,488,522,536,526,546,555
West Midlands,E07000237,Worcester,266,284,296,306,315,331,343,368,383,411,446,472,516,548,571,616,636,628,650,665
West Midlands,E07000238,Wychavon,318,335,355,368,381,402,417,447,465,499,542,569,619,656,678,728,754,748,784,803
West Midlands,E07000239,Wyre Forest,284,297,310,319,327,343,355,381,396,422,457,480,521,549,568,606,624,617,641,652
East of England,E06000055,Bedford,399,422,442,470,473,503,514,540,573,613,652,694,762,822,864,906,937,905,964,984
