B.5g Balance of primary incomes by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East of England,E07000076,Tendring,1428,1536,1638,1772,1889,1966,2027,2117,2198,2250,2338,2391,2377,2359,2370,2378,2450,2481,2589,2691
East of England,E07000077,Uttlesford,1097,1156,1211,1300,1350,1383,1406,1485,1565,1612,1683,1758,1776,1802,1858,1919,1998,2072,2301,2386
East of England,E07000095,Broxbourne,1325,1434,1473,1641,1733,1745,1825,1898,1983,2082,2231,2276,2327,2297,2305,2406,2547,2636,2795,2867
East of England,E07000096,Dacorum,2146,2318,2354,2609,2726,2737,2864,2989,3099,3244,3440,3520,3613,3585,3613,3765,4000,4171,4440,4556
East of England,E07000242,East Hertfordshire,2088,2251,2293,2522,2660,2681,2791,2908,3020,3159,3356,3437,3508,3465,3504,3635,3875,4032,4289,4413
East of England,E07000098,Hertsmere,1466,1605,1645,1799,1895,1897,1982,2053,2134,2241,2389,2451,2505,2496,2505,2599,2755,2892,3050,3111
East of England,E07000099,North Hertfordshire,1769,1912,1942,2174,2290,2304,2450,2564,2664,2821,2989,3057,3120,3094,3118,3239,3422,3571,3777,3884
East of England,E07000240,St Albans,2177,2327,2378,2637,2741,2758,2871,2957,3080,3233,3438,3517,3605,3607,3633,3777,3983,4193,4432,4529
East of England,E07000243,Stevenage,1149,1236,1267,1413,1505,1531,1611,1686,1754,1832,1949,1996,2057,2035,2065,2144,2279,2362,2508,2575
East of England,E07000102,Three Rivers,1331,1428,1469,1610,1690,1685,1768,1841,1914,1989,2128,2171,2217,2217,2212,2317,2470,2560,2738,2811
East of England,E07000103,Watford,1263,1377,1400,1554,1635,1634,1725,1811,1904,1981,2121,2200,2267,2283,2326,2438,2622,2740,2912,2983
East of England,E07000241,Welwyn Hatfield,1468,1573,1621,1788,1879,1914,2036,2164,2305,2459,2640,2704,2784,2771,2806,2910,3123,3268,3524,3724
East of England,E07000143,Breckland,1284,1363,1399,1526,1611,1650,1699,1783,1872,1912,2048,2118,2095,2128,2192,2257,2287,2337,2433,2475
East of England,E07000144,Broadland,1366,1445,1469,1574,1644,1684,1712,1768,1825,1843,1957,2004,1975,2016,2057,2104,2142,2193,2322,2390
East of England,E07000145,Great Yarmouth,994,1041,1061,1128,1181,1203,1242,1305,1350,1358,1447,1495,1501,1528,1567,1600,1626,1654,1745,1791
East of England,E07000146,King’s Lynn and West Norfolk,1302,1371,1406,1531,1622,1676,1733,1828,1926,1966,2110,2189,2225,2285,2353,2414,2475,2528,2580,2656
